запрос	регион	частотность	дата
пропало желание в отношениях	Wordstat РФ+РБ		
ревность у мужчин	Wordstat РФ+РБ		
характер и отношения у мужчин	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
бьёт значит любит	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
болит а анализы в норме	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
психосоматика у мужчин	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
боль в спине от стресса	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
ком в горле и тяжесть в груди	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
проблемы с потенцией на фоне стресса	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
исследования о мужчинах и психике	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
исследования мужской дружбы	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
статистика мужских самоубийств	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
исследования об отцовстве	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
маскулинные нормы исследования	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
мужское ментальное здоровье статистика	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
исследования однополых пар	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
красота за статус в браке	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
психолог мужчина или женщина	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
почему мужчины скрывают эмоции	Wordstat РФ+РБ; Keyword Planner PL/DE/GE		
